Points_0,Points_1,Points_2
-1.69324,0.742286,0.319303
-1.7758,0.661075,0.33746
-1.75715,0.78757,0.311016
-1.76811,0.573803,0.363856
-1.77017,0.476768,0.37958
-1.72762,0.574553,0.368
-1.7985,0.9058,0.285772
-1.72558,0.859387,0.283611
-1.8322,0.797361,0.30939
-1.85046,0.690416,0.343275
-1.81379,0.576973,0.366934
-1.79545,0.479611,0.38196
-1.86856,0.686409,0.374472
-1.84578,0.564648,0.38379
-1.82814,0.470733,0.400973
0.533448,0.624065,0.395833
0.509387,0.517291,0.396534
0.519596,0.517865,0.368256
0.545689,0.698743,0.403719
0.550727,0.635517,0.359744
0.549432,0.829496,0.404182
0.56094,0.699523,0.361256
0.555801,0.907171,0.428453
0.563325,0.83699,0.365726
0.424259,0.507823,0.406933
0.39841,0.495427,0.395216
0.41226,0.601623,0.422789
0.385102,0.598189,0.411799
0.416501,0.675089,0.430304
0.374566,0.683142,0.426796
0.415231,0.805586,0.444737
0.351679,0.797625,0.436684
0.385772,0.877725,0.466451
0.337913,0.878726,0.44919
0.35756,0.600953,0.390465
0.332428,0.681035,0.393277
0.323353,0.806005,0.414
0.31097,0.88026,0.422415
0.388252,0.491993,0.374286
0.364158,0.603871,0.349351
0.338943,0.686043,0.348791
0.307998,0.801434,0.354587
0.298274,0.90815,0.311908
0.39158,0.507404,0.350703
0.397796,0.616734,0.309068
0.382725,0.687868,0.306093
0.362156,0.844157,0.303929
0.363541,0.89992,0.276833
0.479995,0.514462,0.414546
0.512148,0.886744,0.454765
0.514246,0.827658,0.44181
0.50405,0.684747,0.443494
0.498641,0.597188,0.427457
0.45225,0.507968,0.415864
0.453925,0.905901,0.482254
0.460062,0.828751,0.453333
0.469045,0.673458,0.442206
0.459806,0.583277,0.429114
0.43251,0.524847,0.313084
0.41702,0.902274,0.26746
0.425448,0.862759,0.294865
0.428684,0.691862,0.283731
0.439849,0.620111,0.28642
0.527857,0.40034,0.342649
0.464385,0.511204,0.298996
0.516669,0.526244,0.325057
0.523674,0.902869,0.272278
0.536343,0.832533,0.289871
0.515761,0.714673,0.298665
0.566296,0.914995,0.380762
0.505477,0.652144,0.307464
0.602192,1.059,0.417036
0.589091,0.996277,0.397341
0.583806,1.04782,0.467513
0.57141,0.98165,0.445662
0.525235,1.06186,0.510695
0.52855,0.955603,0.473328
0.454049,1.04411,0.515809
0.452546,0.957251,0.499922
0.364348,1.04678,0.505274
0.369056,0.948321,0.486897
0.318398,1.0376,0.481841
0.32687,0.962726,0.473139
0.289014,1.02966,0.45392
0.299593,0.972786,0.432607
0.252602,1.0381,0.374697
0.244072,1.00699,0.33658
0.618136,1.10611,0.431658
0.605401,1.117,0.471767
0.550802,1.12953,0.51896
0.4689,1.12399,0.531718
0.383788,1.12389,0.519533
0.330269,1.1072,0.50564
0.292373,1.09718,0.486165
0.236138,1.10234,0.405395
0.637814,1.18124,0.449167
0.37908,1.17777,0.52447
0.481578,1.19742,0.534151
0.565565,1.19275,0.515015
0.609822,1.18192,0.493032
0.288163,1.1683,0.501964
0.248045,1.18636,0.452324
0.335396,1.16866,0.524749
0.984735,2.47235,0.0172057
1.08387,2.51096,0.0340487
0.996751,2.44695,0.0769884
1.09191,2.49648,0.0674534
1.00646,2.38495,0.133192
1.10254,2.42482,0.131838
1.01893,2.32309,0.151494
1.12952,2.37419,0.152089
1.03159,2.26111,0.16973
1.14702,2.30317,0.178789
1.05266,2.13662,0.20597
1.18941,2.20546,0.20254
1.06434,2.00328,0.222579
1.21367,2.07056,0.21787
1.10446,1.82841,0.222275
1.22732,1.91468,0.201604
1.12259,1.72081,0.207429
1.25388,1.81133,0.174803
1.13944,1.6762,0.184039
1.26338,1.78286,0.161782
1.14771,1.63575,0.158768
1.27815,1.75261,0.137819
1.17422,1.56684,0.115414
1.28946,1.72041,0.10825
1.20774,1.54952,0.084812
1.30561,1.6834,0.0800642
1.18275,2.55172,0.047374
1.30124,2.62082,0.0682637
1.47481,1.8797,0.0838721
1.37289,1.81275,0.111159
1.40198,1.79386,0.0892194
1.46791,1.89973,0.134362
1.36064,1.85038,0.139635
1.45162,1.95542,0.178801
1.35514,1.89614,0.172802
1.4399,2.06158,0.221168
1.34358,1.97928,0.205563
1.41647,2.17533,0.239955
1.31034,2.12558,0.230751
1.37131,2.28657,0.224655
1.26769,2.24848,0.213101
1.36952,2.38103,0.212096
1.24104,2.35311,0.18373
1.33994,2.47094,0.197399
1.21929,2.41839,0.172436
1.31496,2.57597,0.144524
1.19206,2.47528,0.142068
1.30943,2.60212,0.108765
1.18359,2.53049,0.0816295
1.13156,1.43368,0.0908779
0.699085,2.38201,0.0914261
0.855409,2.40915,0.07605
0.71931,2.32853,0.15265
0.865293,2.34704,0.132183
0.768707,2.25826,0.188567
0.881842,2.28153,0.157653
0.784065,2.16937,0.227967
0.899337,2.2105,0.184353
0.820913,2.05167,0.258502
0.916494,2.08547,0.220169
0.869613,1.91721,0.273516
0.957974,1.94856,0.229165
0.897636,1.81003,0.291929
1.00766,1.77835,0.25523
0.936088,1.72311,0.289221
0.945402,1.64066,0.285324
1.04082,1.67873,0.240115
0.960019,1.54696,0.231563
1.05397,1.61264,0.203686
1.0687,1.53548,0.169695
1.10699,1.47067,0.12393
0.839422,1.90627,0.319757
0.871914,1.77994,0.316482
0.888454,1.69987,0.318739
0.888445,1.62278,0.318399
0.867877,1.54601,0.318748
